DATE,VALUE
2015-03-31,104.73524613871
2014-12-31,102.92032138398
2014-09-30,103.62299649365
2014-06-30,104.60408205658
2014-03-31,104.29000957332
2013-12-31,105.1263535643
2013-09-30,105.07938614706
2013-06-30,105.26181652258
2013-03-31,105.1901883936
2012-12-31,117.30009215988
2012-09-30,118.26371195855
2012-06-30,119.23492147631
2012-03-31,118.79796057622
2011-12-31,117.59180403332
2011-09-30,115.83516972625
2011-06-30,114.34415747827
2011-03-31,112.3173707181
2010-12-31,102.49866749621
2010-09-30,101.03524619261
2010-06-30,99.721435363342
2010-03-31,98.402365351185
2009-12-31,100.06954275155
2009-09-30,100.41341488796
2009-06-30,101.81648701223
2009-03-31,103.73426828769
2008-12-31,108.19258535516
2008-09-30,113.3812046963
2008-06-30,111.18600467014
2008-03-31,109.50875191162
2007-12-31,110.47474036928
2007-09-30,108.94747818155
2007-06-30,106.99876926551
2007-03-31,105.69795576644
2006-12-31,102.97196274974
2006-09-30,102.98925773311
2006-06-30,101.63183304494
2006-03-31,101.57081152748
2005-12-31,99.962288969306
2005-09-30,99.880176397122
2005-06-30,100.60080139656
2005-03-31,100.32438547752
2004-12-31,99.235689909561
2004-09-30,99.438204217137
2004-06-30,99.439208857696
2004-03-31,99.868247186196
2003-12-31,99.393754974062
2003-09-30,99.346004521379
2003-06-30,99.791609188989
2003-03-31,100.06015797674
2002-12-31,100.53816446954
2002-09-30,101.0638720667
2002-06-30,100.76556666486
2002-03-31,99.317061730957
2001-12-31,97.397680026654
2001-09-30,97.905010265216
2001-06-30,98.341294871403
2001-03-31,97.841324343795
2000-12-31,92.831340381022
2000-09-30,92.561791185467
2000-06-30,92.394342163075
2000-03-31,92.2783983636
1999-12-31,90.078826282197
1999-09-30,90.023295559966
1999-06-30,90.16013483874
1999-03-31,90.264415863166
1998-12-31,90.085056424026
1998-09-30,90.719262935831
1998-06-30,91.181178589358
1998-03-31,91.356645679246
1997-12-31,92.816271981313
1997-09-30,93.197614490191
1997-06-30,93.741653494916
1997-03-31,93.327500526042
1996-12-31,93.106166314315
1996-09-30,93.764643857997
1996-06-30,94.785751212471
1996-03-31,95.658313154802
1995-12-31,93.508971384577
1995-09-30,93.393777621057
1995-06-30,93.925221409849
1995-03-31,93.075983967976
1994-12-31,91.950194554963
1994-09-30,91.880037290725
1994-06-30,91.28683428928
1994-03-31,90.692953843502
1993-12-31,89.445949315919
1993-09-30,89.623632802898
1993-06-30,89.622519536043
1993-03-31,89.846343756568
1992-12-31,86.255097308893
1992-09-30,87.236149611006
1992-06-30,84.671608439071
1992-03-31,84.081893146869
1991-12-31,81.618799263856
1991-09-30,79.673463665028
1991-06-30,79.052018009325
1991-03-31,78.519220460939
1990-12-31,68.227967133807
1990-09-30,66.631556013325
1990-06-30,66.004013358622
1990-03-31,65.619329981138
1989-12-31,60.060220652401
1989-09-30,59.001115472344
1989-06-30,58.57616931998
1989-03-31,57.401421004994
1988-12-31,55.872379465319
1988-09-30,55.262450363283
1988-06-30,54.746384560859
1988-03-31,53.426203625458
1987-12-31,51.853398052773
1987-09-30,51.113182856543
1987-06-30,50.440829517335
1987-03-31,49.953079758971
1986-12-31,49.186986189207
1986-09-30,49.22243346395
1986-06-30,48.603210954735
1986-03-31,48.821558037824
1985-12-31,49.132264494104
1985-09-30,48.006706541239
1985-06-30,48.587647800249
1985-03-31,46.873903321228
1984-12-31,45.953463092695
1984-09-30,44.501940379014
1984-06-30,43.550982412337
1984-03-31,43.208896734535
1983-12-31,42.188193615589
1983-09-30,41.718793566068
1983-06-30,41.312574233226
1983-03-31,41.249023180312
1982-12-31,41.185757783092
1982-09-30,40.462635636467
1982-06-30,40.000227941541
1982-03-31,39.390444490037
1981-12-31,38.855177657057
1981-09-30,39.322992486837
1981-06-30,38.726435006868
1981-03-31,37.973737898796
1980-12-31,34.719285159605
1980-09-30,33.834301238407
1980-06-30,33.378214099111
1980-03-31,32.837324478164
