,id,name,host_id,host_since,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_listings,reviews_per_month,price_group
2115,10846367,Bright and Spacious in Hip SoFo,4236865,2012-11-25,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 39,Sweden,5.931.278,1.807.606,Apartment,2.0,1697.0,4,0,3,100.0,1,0,High Price
2116,10847404,Cosy house close to city center,13088570,2014-03-13,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 62,Sweden,5.928.356,180.876,Townhouse,5.0,2295.0,3,0,36,98.0,1,0,High Price
2117,10848621,"1 Bedroom Apartment, Great Location",56182604,2016-01-26,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,114 48,Sweden,5.933.637,1.808.166,Apartment,1.0,696.0,3,8,5,92.0,1,0,Middle Price
2118,10858483,Fantastic apart in Hammarby Sjoestad,54179495,2016-01-11,"Stockholm, Stockholms laen, Sweden",Skarpnaeck,Stockholm,Stockholms laen,120 67,Sweden,5.930.386,1.810.619,Apartment,2.0,1197.0,1,0,27,99.0,1,0,High Price
2119,10894495,Luxury suite in central Stockholm,5209058,2013-02-24,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 57,Sweden,5.934.281,1.805.753,Apartment,1.0,991.0,7,0,12,84.0,1,0,Middle Price
2121,10902501,2 room in Stockholm,56498414,2016-01-28,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,111 38,Sweden,5.933.697,1.806.674,Apartment,1.0,922.0,7,348,17,100.0,2,0,Middle Price
2122,10907993,Top Balcony Apartment in the City Centre,28205864,2015-02-23,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 25,Sweden,593.411,18.048,Apartment,1.0,883.0,3,22,160,96.0,1,4,Middle Price
2123,10918920,Fresh apartment in central city!,56593725,2016-01-29,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 61,Sweden,59.326,1.800.662,Apartment,0.0,883.0,4,244,23,86.0,1,0,Middle Price
2124,10925354,Sekelskiftesvilla med pool naera Stockholm City,56633409,2016-01-29,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 32,Sweden,5.928.568,180.822,House,4.0,2747.0,4,0,31,100.0,1,0,High Price
2125,10935307,Lovely sunny house near Stockholm C,37339398,2015-07-02,"Stockholm, Stockholms laen, Sweden",Spaanga-Tensta,Stockholm,Stockholms laen,163 43,Sweden,5.937.224,1.792.479,House,4.0,2707.0,2,334,11,98.0,2,0,High Price
2126,10939760,"Eurovision-16, Laegenhet vid Globen.",56719348,2016-01-30,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,121 36,Sweden,5.929.234,1.808.681,Apartment,1.0,1834.0,1,0,1,100.0,1,0,High Price
2127,10940115,19th century apartment in Vasastan,39326778,2015-07-23,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 44,Sweden,5.934.817,1.804.349,Apartment,0.0,951.0,2,0,8,88.0,1,0,Middle Price
2128,10942440,Elegant apartm/office space 20 min fr City Centre,56734076,2016-01-30,"Stockholm, Stockholms laen, Sweden",Farsta,Stockholm,Stockholms laen,123 59,Sweden,5.925.771,1.808.903,Apartment,1.0,304.0,2,0,52,84.0,1,1,Low Price
2130,10967412,"Mysig 3,5 naera stan - perfekt foer familjen!",16008398,2014-05-26,"Stockholm, Stockholms laen, Sweden",Farsta,Stockholm,Stockholms laen,122 48,Sweden,5.927.099,1.806.915,Apartment,3.0,667.0,2,40,16,96.0,1,1,Middle Price
2132,10981299,Ljus mysig laegenhet med balkong,56973174,2016-02-01,"Stockholm, Stockholms laen, Sweden",Farsta,Stockholm,Stockholms laen,123 55,Sweden,5.925.521,1.808.521,Apartment,1.0,373.0,1,0,8,78.0,2,0,Low Price
2134,10985495,Central cozy and luxurious,33826854,2015-05-20,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 51,Sweden,5.933.822,1.800.264,Apartment,1.0,1501.0,1,350,2,80.0,2,0,High Price
2135,10993971,Cosy and well located B&B near Globen,37434428,2015-07-03,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,121 47,Sweden,5.929.581,1.808.577,Bed and breakfast,1.0,647.0,3,162,15,91.0,2,0,Middle Price
2136,11001539,Cool and hormoni.,57088351,2016-02-02,"Stockholm, Stockholms laen, Sweden",Bromma,Stockholm,Stockholms laen,16870 bromma,Sweden,5.936.462,1.794.755,Apartment,1.0,745.0,1,363,55,97.0,1,1,Middle Price
2137,11001675,Hoernlaegenhet med tvaa balkonger,3321577,2012-08-20,"Stockholm, Stockholms laen, Sweden",Skarpnaeck,Stockholm,Stockholms laen,121 46,Sweden,5.929.948,180.993,Apartment,2.0,804.0,5,242,7,94.0,1,0,Middle Price
2139,11016259,Modern room with balcony.,12997444,2014-03-10,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,115 46,Sweden,5.935.537,1.808.843,Apartment,1.0,598.0,4,27,45,98.0,1,1,Middle Price
2141,11028163,Sunny apartment in Stockholm,25757919,2015-01-07,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,120 59,Sweden,5.929.727,1.804.116,Apartment,2.0,922.0,3,0,4,90.0,1,0,Middle Price
2142,11028894,Somewhere Up The Stairs - SUTS,57232979,2016-02-03,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 65,Sweden,5.931.316,1.806.341,Apartment,1.0,853.0,3,52,53,99.0,2,1,Middle Price
2143,11029221,Cozy apartment with great patio,16322646,2014-06-03,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,121 35,Sweden,5.929.101,1.808.776,Apartment,1.0,745.0,3,0,5,96.0,1,0,Middle Price
2144,11033149,QUALITY Stockholm,57232979,2016-02-03,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 65,Sweden,5.931.197,1.806.022,Apartment,3.0,1403.0,3,120,88,98.0,2,2,High Price
2145,11037721,Nyrenoverat boende mitt i city,57279543,2016-02-03,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,11356,Sweden,5.934.798,1.806.074,Apartment,2.0,1746.0,3,0,7,100.0,1,0,High Price
2148,11079956,Mysig 3:a i Aarsta,51896813,2015-12-21,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,120 39,Sweden,5.929.718,1.806.344,Apartment,2.0,755.0,1,0,1,80.0,1,0,Middle Price
2151,11101705,Family friendly three bedroom apartment in Sofo,57661512,2016-02-06,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 33,Sweden,5.931.265,1.808.078,Apartment,3.0,3502.0,4,0,5,100.0,1,0,High Price
2153,11109733,City Location With Courtyard Access,57713180,2016-02-07,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,111 61,Sweden,5.933.744,180.503,Apartment,4.0,2246.0,4,76,25,97.0,1,0,High Price
2154,11112102,Bicycles and breakfast close to  city and woods.,7663331,2013-07-23,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,120 54,Sweden,5.929.859,1.804.974,Apartment,1.0,539.0,2,153,109,97.0,1,2,Middle Price
2155,11119421,Modern 3 room apt in Soedermalm,52009504,2015-12-22,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 61,Sweden,5.930.934,180.657,Apartment,1.0,1354.0,1,0,20,98.0,1,0,High Price
2156,11122517,Balcony facing the park,28081143,2015-02-21,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 27,Sweden,593.112,1.807.104,Apartment,1.0,932.0,4,0,1,100.0,1,0,Middle Price
2157,11122519,Unikt laege i Stockholm! Lugnt och naera till allt!,57790196,2016-02-07,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 23,Sweden,593.306,1.804.533,Apartment,3.0,2903.0,1,25,7,100.0,1,0,High Price
2158,11122768,"Nice house from 1946, close to Stockholm City",57791615,2016-02-07,"Aelvsjoe, Stockholms laen, Sweden",Aelvsjoe,Aelvsjoe,Stockholms laen,125 52,Sweden,5.926.836,1.797.849,House,4.0,1599.0,6,243,5,100.0,1,0,High Price
2159,11122980,2.a paa Kungsholmen,28666211,2015-03-03,"Stockholm, Stockholms laen, Sweden",Kungsholmen,Stockholm,Stockholms laen,112 59,Sweden,593.291,1.801.268,Apartment,1.0,902.0,1,0,16,99.0,1,0,Middle Price
2160,11128397,Lovely home close to Stockholm Fair & city centre.,34457204,2015-05-28,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 41,Sweden,5.928.353,1.804.199,Apartment,2.0,1001.0,3,332,5,100.0,1,0,High Price
2164,11140606,City apartment on the main shopping street,57897200,2016-02-08,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,111 36,Sweden,5.933.523,1.806.213,Apartment,1.0,1805.0,2,0,25,97.0,1,0,High Price
2165,11144332,Gaangavstaand till Globen,57918365,2016-02-08,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 32,Sweden,5.928.254,1.807.937,Townhouse,4.0,2001.0,1,0,1,80.0,1,0,High Price
2166,11152697,Soho Apartment-Stockholm,4155445,2012-11-15,"Stockholm, Stockholms laen, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholms laen,117 43,Sweden,5.931.345,1.802.432,Apartment,1.0,490.0,4,0,2,100.0,1,0,Low Price
2173,11204987,Sea view apartment in Maelarhoejden,51005816,2015-12-10,"Stockholm, Stockholms laen, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholms laen,129 39,Sweden,5.930.709,179.667,Apartment,3.0,961.0,4,99,17,96.0,1,0,Middle Price
2176,11218085,Light and cosy apartment,16743993,2014-06-13,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 62,Sweden,5.933.928,1.803.785,Apartment,1.0,804.0,2,0,13,97.0,1,0,Middle Price
2178,11235023,Yacht stay in Stockholm City,34292500,2015-05-26,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,115 21,Sweden,5.932.718,1.809.609,Boat,3.0,2776.0,3,359,17,99.0,2,0,High Price
2179,11239608,"Exclusive apartment, heart of Sthlm",58603552,2016-02-13,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,114 38,Sweden,5.934.207,1.807.797,Apartment,2.0,1991.0,3,0,4,100.0,1,0,High Price
2181,11241954,Unique Design Loft /w Cosy Patio,7355709,2013-07-08,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 54,Sweden,5.934.763,1.805.797,Apartment,0.0,1020.0,5,0,34,96.0,1,0,High Price
2182,11245734,Charming Room - Eurovision Weekend!,6704394,2013-06-02,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,121 35,Sweden,592.933,180.885,Apartment,1.0,647.0,2,0,1,100.0,1,0,Middle Price
2183,11245757,Prime location in city center,56732089,2016-01-30,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 28,Sweden,5.931.311,1.806.633,Apartment,2.0,1148.0,1,0,2,100.0,1,0,High Price
2186,11256106,Modern and elegant-central location,58738106,2016-02-14,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 61,Sweden,5.930.911,1.807.824,Apartment,1.0,1246.0,6,0,1,100.0,1,0,High Price
2187,11265066,Nice apartment in quiet area!,11896387,2014-02-03,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,121 33,Sweden,5.928.621,1.809.778,Apartment,3.0,844.0,4,0,9,98.0,1,0,Middle Price
2188,11265512,Classy apartment - fashionable area,23884480,2014-11-18,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,114 45,Sweden,5.933.527,1.808.181,Apartment,1.0,2001.0,3,0,5,100.0,1,0,High Price
2189,11268622,Boutique home in Hipster heaven!,11808882,2014-01-31,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 23,Sweden,5.931.235,1.807.952,Apartment,2.0,2501.0,4,154,37,99.0,1,0,High Price
2191,11270275,Lovely room in central Stockholm!,25745835,2015-01-07,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,115 53,Sweden,5.933.911,1.809.482,Apartment,1.0,971.0,1,141,81,94.0,1,1,Middle Price
2192,11272277,Stylish by trendy Hornstull!,58857251,2016-02-15,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,117 32,Sweden,593.199,180.373,Apartment,0.0,1501.0,1,0,8,98.0,1,0,High Price
2193,11275868,Picturesque 30s house Near Soedermalm. Houses 6 ppl,3765133,2012-10-05,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,122 37,Sweden,5.928.385,1.805.715,House,4.0,1197.0,5,0,3,100.0,1,0,High Price
2194,11286538,"Gaerdet/City, 2 room modern aprt",23943599,2014-11-19,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,115 39,Sweden,5.934.738,1.810.009,Apartment,1.0,696.0,2,0,5,96.0,1,0,Middle Price
2196,11290723,Stylish 2bed in trendy Aspudden,58902147,2016-02-15,"Stockholm, Stockholms laen, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholms laen,126 51,Sweden,5.931.092,1.800.539,Apartment,2.0,1197.0,2,30,14,95.0,1,0,High Price
2197,11290826,Ljus & mkt fin 2:a med balkong,48173138,2015-11-04,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,115 36,Sweden,5.934.773,1.809.537,Apartment,1.0,1148.0,2,0,11,98.0,1,0,High Price
2198,11295612,Charmig soederpaerla i trendiga Sofo,36502835,2015-06-23,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 31,Sweden,5.931.541,1.808.496,Apartment,1.0,922.0,2,211,40,97.0,1,0,Middle Price
2199,11320529,Studio Apartment - Soedermalm,59196035,2016-02-17,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,116 36,Sweden,5.931.357,1.809.257,Apartment,0.0,745.0,1,0,3,87.0,1,0,Middle Price
2200,11337399,One bedroom on Oestermalm w/ balcony,59336841,2016-02-18,"Stockholm, Stockholms laen, Sweden",Oestermalm,Stockholm,Stockholms laen,114 54,Sweden,5.933.677,1.808.625,Apartment,2.0,1569.0,2,0,3,100.0,1,0,High Price
