,id,name,host_id,host_since,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_listings,reviews_per_month,price_group
2,145320,In the middle of it all - with a view!,703851,2011-06-15,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 53,Sweden,5.931.364,1.805.256,Apartment,1.0,1285.0,2,0,72,97.0,1,2,High Price
4,155685,Hornstull with water view!,748592,2011-06-27,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11739,Sweden,5.931.535,1.803.277,Apartment,2.0,3247.0,4,0,22,94.0,1,0,High Price
6,170651,Petit Charm Rooftop next to heaven,814021,2011-07-13,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11737,Sweden,5.931.568,1.803.138,Apartment,1.0,745.0,3,197,32,93.0,1,0,Middle Price
7,206221,Doubleroom at Soedermalm &trendySofo,1022374,2011-08-26,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11639,Sweden,5.931.226,1.807.942,Bed and breakfast,1.0,667.0,3,332,78,98.0,1,0,Middle Price
9,220851,One room in appartement,412283,2011-02-27,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11341,Sweden,5.933.376,1.803.816,Apartment,1.0,598.0,3,336,45,93.0,1,0,Middle Price
12,259722,Near shopping-IT Business(Bunk bed),1261494,2011-10-07,"Stockholm, Stockholm County, Sweden",Rinkeby-Kista,Stockholm,Stockholm County,16474,Sweden,5.941.003,179.366,Apartment,1.0,226.0,21,307,23,92.0,1,0,Low Price
13,273906,Penthouse in central Stockholm,1432722,2011-11-22,"Stockholm, Stockholm County, Sweden",Skarpnaeck,Stockholm,Stockholm County,12068,Sweden,5.930.414,181.068,Apartment,3.0,1962.0,6,242,8,100.0,1,0,High Price
14,274876,Designer apartment innercity Sthlm,1437153,2011-11-23,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11628,Sweden,5.931.849,1.809.536,Apartment,3.0,3188.0,3,343,109,99.0,1,1,High Price
15,278311,Entire apt (some weeks this summer),1452838,2011-11-29,"Farsta, Stockholms laen, Sweden",Farsta,Farsta,Stockholms laen,12331,Sweden,5.924.534,1.808.729,Apartment,1.0,412.0,1,359,51,92.0,1,0,Low Price
16,283446,Comfort Stay @ Kista - Super Value!,1476562,2011-12-06,"Stockholm, Stockholm County, Sweden",Rinkeby-Kista,Stockholm,Stockholm County,16472,Sweden,5.941.533,1.791.465,Apartment,1.0,294.0,2,0,104,97.0,1,1,Low Price
18,301680,one cosy double room for rent,1554143,2012-01-01,"Laangbro, Stockholm County, Sweden",Aelvsjoe,Laangbro,Stockholm County,12533,Sweden,5.927.778,1.799.226,Bed and breakfast,1.0,745.0,1,361,34,92.0,2,0,Middle Price
19,302496,"Spacious, bright, unique apartment",1557657,2012-01-02,"Norrmalm, Stockholm County, Sweden",Norrmalm,Norrmalm,Stockholm County,11351,Sweden,5.934.518,1.806.044,Apartment,3.0,2796.0,5,250,62,99.0,1,0,High Price
20,313195,"Design, style & vintage by Odenplan",956221,2011-08-11,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11347,Sweden,5.934.763,1.805.015,Apartment,1.0,912.0,3,18,45,96.0,1,0,Middle Price
21,313763,Excellent location in the city center,1533849,2011-12-25,"Stockholm, Stockholms laen, Sweden",Norrmalm,Stockholm,Stockholms laen,113 28,Sweden,5.934.398,1.804.959,Loft,1.0,745.0,2,14,48,98.0,1,0,Middle Price
22,338470,Apartment in the heart of Stockholm,1719449,2012-02-08,"Oestermalm, Stockholm County, Sweden",Oestermalm,Oestermalm,Stockholm County,11460,Sweden,5.933.742,1.808.873,Apartment,1.0,1246.0,3,151,21,98.0,1,0,High Price
23,343925,Modern central 1 bedroom flat,1744774,2012-02-13,"Kungsholmen, Stockholm County, Sweden",Kungsholmen,Kungsholmen,Stockholm County,11247,Sweden,593.366,1.802.942,Apartment,1.0,755.0,2,0,34,93.0,1,0,Middle Price
24,357012,Gorgeous sunny apt with sea views,1214515,2011-09-27,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11731,Sweden,5.931.973,1.803.999,Apartment,2.0,1697.0,3,60,19,100.0,1,0,High Price
26,370744,charming spot at famous Soedermalm,1355847,2011-10-31,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,118 64,Sweden,5.931.409,1.805.785,Apartment,2.0,2001.0,2,0,11,96.0,2,0,High Price
30,444252,Studio Apartment,2206725,2012-04-23,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11357,Sweden,5.934.152,1.806.156,Apartment,1.0,716.0,6,160,2,100.0,2,0,Middle Price
32,451155,Spacious house in Stockholm,2240860,2012-04-28,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12243,Sweden,5.928.021,1.805.355,House,4.0,1501.0,3,238,23,95.0,1,0,High Price
33,472015,Lovely big apt in SOFO  balcony,1578681,2012-01-07,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11621,Sweden,5.931.331,1.807.414,Apartment,3.0,2060.0,5,220,6,93.0,1,0,High Price
34,475409,CHARMING 1 Bed Room in City Center (share),2356697,2012-05-12,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11633,Sweden,593.144,1.808.311,Apartment,1.0,490.0,3,151,44,91.0,1,0,Low Price
45,533880,Nice room Erik Dahlbergsgatan,2624450,2012-06-13,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11530,Sweden,5.934.384,1.808.977,Bed and breakfast,1.0,520.0,10,0,106,96.0,1,1,Middle Price
46,536283,Studio apartment right in the city,2624970,2012-06-13,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11625,Sweden,5.931.211,1.807.801,Condominium,1.0,1363.0,3,327,94,96.0,1,1,High Price
48,543045,"1 room studioflat, Hornstull, STHLM",2670016,2012-06-18,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11733,Sweden,5.931.929,1.803.214,Apartment,1.0,1001.0,4,0,26,95.0,1,0,High Price
49,553914,Cozy studio 5 minutes from Central Station,2722006,2012-06-23,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11324,Sweden,593.376,1.804.908,Apartment,0.0,598.0,2,0,19,100.0,1,0,Middle Price
50,556363,Spacious apartment at top location,2735709,2012-06-25,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11362,Sweden,5.934.343,1.803.734,Loft,0.0,1118.0,6,0,42,92.0,1,0,High Price
53,568341,Junior 1 bedroom Apartment Stockholm 2,2755002,2012-06-26,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11249,Sweden,5.933.603,1.803.005,Apartment,1.0,1668.0,2,0,30,97.0,3,0,High Price
58,610034,Beautiful central apt for 2 persons,3024661,2012-07-23,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11856,Sweden,5.930.875,1.806.623,Apartment,1.0,1001.0,1,0,8,97.0,1,0,High Price
59,610948,"Artistic bright apt, great location",2594467,2012-06-10,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11825,Sweden,593.209,1.805.807,Apartment,1.0,1001.0,5,13,34,99.0,1,0,High Price
60,620848,Green & Spacious 10 min from centre,870233,2011-07-26,"Stockholm, Stockholm County, Sweden",Aelvsjoe,Stockholm,Stockholm County,12544,Sweden,5.928.034,1.801.079,Condominium,2.0,628.0,2,0,32,96.0,1,0,Middle Price
61,624886,Wonderful apt in trendy Hornstull!,3098275,2012-07-30,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11731,Sweden,5.931.984,180.363,Apartment,2.0,1805.0,6,32,36,99.0,1,0,High Price
63,642333,Cozy near city apartment,3210035,2012-08-09,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11560,Sweden,5.934.468,1.810.957,Apartment,1.0,530.0,1,0,1,100.0,1,0,Middle Price
64,646635,Bedroom in 1900-century apartment,2243859,2012-04-28,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11354,Sweden,5.934.983,1.805.782,Apartment,1.0,647.0,2,0,15,100.0,1,0,Middle Price
65,647119,Beautiful quiet apartment the heart of Sodermalm,3237232,2012-08-12,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11852,Sweden,593.175,1.806.455,Apartment,1.0,1942.0,5,178,5,95.0,3,0,High Price
67,648671,Dorm space in beautiful apartment,3237232,2012-08-12,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11852,Sweden,593.172,1.806.373,Hostel,1.0,755.0,2,178,9,88.0,3,0,Middle Price
68,667113,Wonderful 3-bedrooms in city center,3223957,2012-08-11,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11124,Sweden,5.933.763,1.805.295,Apartment,3.0,2501.0,3,60,111,95.0,1,1,High Price
74,723539,"Lovely Apt-central, calm, nice area",2586493,2012-06-09,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11438,Sweden,5.933.714,180.784,Apartment,1.0,902.0,4,0,121,90.0,1,1,Middle Price
75,739726,Stockholm City- Centrally Located,2400487,2012-05-17,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11623,Sweden,5.931.442,1.807.951,Apartment,1.0,824.0,3,21,82,96.0,1,0,Middle Price
77,755843,Nice apartment in the city center,3978910,2012-10-26,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11236,Sweden,5.932.865,18.035,Apartment,1.0,1354.0,2,309,103,96.0,1,2,High Price
78,757320,NICE ROOM ON CENTRAL Soedermalm,3987989,2012-10-27,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11821,Sweden,5.931.763,1.806.009,Apartment,1.0,696.0,3,256,178,88.0,1,2,Middle Price
79,763407,Cozy flat in central Stockholm,3549257,2012-09-12,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11348,Sweden,5.934.417,1.805.146,Apartment,3.0,951.0,3,2,90,99.0,1,1,Middle Price
80,770995,Fin laegenhet paa nedre Kungsholmen.,4067436,2012-11-05,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11223,Sweden,5.933.064,1.804.576,Apartment,3.0,3453.0,3,334,13,98.0,1,0,High Price
81,776012,Old town flat with a fantastic view,4093218,2012-11-08,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,11129,Sweden,5.932.412,180.709,Apartment,1.0,922.0,1,0,44,98.0,1,0,Middle Price
82,776155,Unique exclusive quiet penthouse/loft,3963441,2012-10-24,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11327,Sweden,5.934.313,1.805.264,Loft,1.0,1805.0,5,136,22,100.0,1,0,High Price
83,785218,Unique 3 floor Town House,4139711,2012-11-13,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,11264,Sweden,5.932.115,1.799.498,House,3.0,1795.0,5,78,10,98.0,1,0,High Price
85,795354,"Exclusive apartment, best location",3972727,2012-10-25,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11358,Sweden,5.933.989,1.806.128,Apartment,1.0,1373.0,1,358,48,97.0,1,0,High Price
87,819749,Lovely stay in Stockholm Sodermalm,4182269,2012-11-18,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11631,Sweden,5.930.977,1.808.496,Apartment,1.0,795.0,1,0,1,100.0,1,0,Middle Price
88,822497,Apartment for six with a terrace!,4319402,2012-12-04,"Haegerstensaasen, Stockholm County, Sweden",Haegersten-Liljeholmen,Haegerstensaasen,Stockholm County,12932,Sweden,5.929.766,1.798.345,Apartment,2.0,1501.0,2,339,38,96.0,1,0,High Price
89,838442,19th century apartm in city centre,4380521,2012-12-11,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11123,Sweden,5.933.496,1.805.625,Apartment,2.0,1864.0,1,226,40,92.0,4,0,High Price
90,840600,Nice room in central Stockholm,4390012,2012-12-12,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11246,Sweden,59.337,1.802.897,Apartment,1.0,647.0,1,90,74,98.0,1,0,Middle Price
91,845365,"Room near forest park, 300 meter from the subway!",4174933,2012-11-17,"Bredaeng, Stockholm County, Sweden",Skaerholmen,Bredaeng,Stockholm County,12731,Sweden,5.929.558,1.792.814,Apartment,1.0,2001.0,1,0,29,91.0,4,0,High Price
92,854975,Best apartment Odenplan,600840,2011-05-18,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11326,Sweden,5.934.435,1.804.479,Apartment,1.0,1177.0,3,2,23,97.0,1,0,High Price
93,858902,Single room-city centre of Sthlm G,4495747,2012-12-26,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11458,Sweden,5.933.818,1.808.458,Apartment,1.0,569.0,4,19,33,93.0,2,0,Middle Price
94,862528,Villa in quiet green neighborhood close to city,4521402,2012-12-29,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12944,Sweden,5.929.733,1.795.678,House,3.0,1187.0,4,0,15,95.0,1,0,High Price
95,862868,Central studio apartment top floor,4523620,2012-12-29,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11227,Sweden,5.933.041,1.804.488,Apartment,1.0,902.0,30,1,4,95.0,1,0,Middle Price
96,866768,Cozy Apartment Near Soedermalm/Globe,4554927,2013-01-02,"Stockholm, Stockholms laen, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholms laen,120 38,Sweden,592.965,1.806.736,Apartment,1.0,490.0,7,0,11,100.0,1,0,Low Price
97,871262,Single room-city centre of Sthlm Y,4495747,2012-12-26,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11458,Sweden,5.933.696,1.808.423,Apartment,1.0,530.0,5,124,40,91.0,2,0,Middle Price
98,873383,Nice room close to Stockholm Fair & Center,4609654,2013-01-06,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12470,Sweden,5.926.669,1.801.572,Apartment,1.0,353.0,2,208,57,94.0,2,0,Low Price
100,884403,"Apartment in Stockholm, Furnished",779150,2011-07-05,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11664,Sweden,5.930.863,1.808.104,Apartment,1.0,932.0,4,331,53,96.0,1,0,Middle Price
101,897584,"Charming, rural apt near Soedermalm",1552575,2011-12-31,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12647,Sweden,592.999,179.882,Apartment,1.0,549.0,4,0,44,98.0,1,0,Middle Price
102,897730,Stockholm 2 bedrooms 52 sqm,4789660,2013-01-21,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,117 27,Sweden,5.931.875,1.804.334,Apartment,2.0,1452.0,1,0,13,100.0,1,0,High Price
103,900043,Charming 1room apartment Soedermalm,4805352,2013-01-22,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11733,Sweden,5.931.752,180.334,Apartment,1.0,647.0,3,0,55,89.0,1,1,Middle Price
104,903577,Rum naera Globen uthyres,4830362,2013-01-24,"Gamla Enskede, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Gamla Enskede,Stockholm County,12130,Sweden,5.928.746,1.809.516,Apartment,1.0,422.0,1,28,5,100.0,1,0,Low Price
105,904739,Studio in city center,713422,2011-06-17,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11739,Sweden,5.931.841,1.802.713,Apartment,0.0,598.0,2,184,54,97.0,1,0,Middle Price
106,915013,Great location 5 minutes to city center,4911760,2013-01-30,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11534,Sweden,5.934.378,1.808.946,Apartment,1.0,1020.0,3,0,9,98.0,1,1,High Price
108,920582,19th century apt w/patio Stockholm,1811365,2012-02-26,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11242,Sweden,5.933.083,1.803.506,Apartment,1.0,1550.0,1,121,9,98.0,1,0,High Price
109,938750,Penthouse in Stockholm,4664327,2013-01-11,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11622,Sweden,5.931.416,1.807.928,Apartment,1.0,3002.0,14,0,2,100.0,1,0,High Price
110,940882,"72 sqm apartment in Vasastan, Central Stockholm",5084979,2013-02-14,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11332,Sweden,5.934.252,1.803.824,Apartment,2.0,961.0,1,0,1,100.0,1,0,Middle Price
111,944703,Cosy home 15 min from Stockholm C,5115328,2013-02-17,"Haegerstensaasen, Stockholm County, Sweden",Haegersten-Liljeholmen,Haegerstensaasen,Stockholm County,12934,Sweden,5.929.725,1.798.008,Apartment,1.0,687.0,2,0,18,99.0,1,0,Middle Price
112,944853,Cozy 2 room apt in trendy Soedermalm,4909467,2013-01-30,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11625,Sweden,59.316,1.807.641,Apartment,1.0,1069.0,4,0,6,100.0,1,0,High Price
114,974175,Turn of the century - Vasastan,67255,2010-01-02,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11328,Sweden,5.934.557,1.804.399,Apartment,3.0,1854.0,5,71,119,99.0,1,1,High Price
115,975317,Family-friendly 3BR in hip district,2651620,2012-06-16,"Stockholm, Stockholm County, Sweden",Soedermalms,Stockholm,Stockholm County,11741,Sweden,593.168,1.804.717,Apartment,3.0,1305.0,6,0,5,90.0,1,0,High Price
116,975364,Central & Trendy Big Room + Balcony,5103905,2013-02-16,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11853,Sweden,5.931.747,1.805.447,Apartment,1.0,1501.0,21,363,5,95.0,1,0,High Price
117,985944,Large apt in vibrant Soedermalm,2123134,2012-04-12,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11726,Sweden,5.931.744,1.804.734,Apartment,2.0,1795.0,4,0,12,100.0,1,0,High Price
119,1035775,Clean apartment near city central,3989826,2012-10-27,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11258,Sweden,593.298,1.800.566,Apartment,1.0,824.0,3,0,44,94.0,1,0,Middle Price
120,1038408,Artistic & quiet city apt.,5716387,2013-04-01,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11257,Sweden,593.301,1.800.076,Apartment,1.0,647.0,4,259,3,90.0,1,0,Middle Price
121,1041103,Aspudden Close to the city.,5731936,2013-04-02,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12649,Sweden,5.931.301,1.800.828,Apartment,1.0,451.0,3,0,44,98.0,1,0,Low Price
122,1048260,Charming & bohemic 1 bedroom flat,5770735,2013-04-04,"Stockholm, Stockholm County, Sweden",Skarpnaeck,Stockholm,Stockholm County,12145,Sweden,5.929.808,1.809.049,Apartment,1.0,696.0,3,330,65,94.0,1,0,Middle Price
123,1048668,Lovely apartment with amazing view!,5457817,2013-03-14,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12647,Sweden,5.930.314,1.799.815,Apartment,1.0,951.0,2,342,38,91.0,1,0,Middle Price
124,1054406,Spacious safe scenic near Stockholm,5806608,2013-04-07,"Stockholm, Stockholm County, Sweden",Aelvsjoe,Stockholm,Stockholm County,12553,Sweden,5.927.466,1.795.875,Apartment,2.0,696.0,2,326,96,96.0,1,1,Middle Price
128,1115790,Top floor flat in trendy Hornstull,6123933,2013-04-28,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11732,Sweden,5.931.823,1.803.289,Loft,1.0,785.0,5,0,6,100.0,1,0,Middle Price
129,1117037,Nice big room,6130990,2013-04-28,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12453,Sweden,5.926.262,1.803.856,Apartment,1.0,353.0,1,152,28,93.0,2,0,Low Price
130,1119738,NIce house in green area,6144002,2013-04-29,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12942,Sweden,5.929.465,1.795.274,House,3.0,598.0,1,328,23,98.0,1,0,Middle Price
131,1121469,CozyBagarmossen - close to nature and the city,6153136,2013-04-29,"Bagarmossen, Stockholm County, Sweden",Skarpnaeck,Bagarmossen,Stockholm County,12847,Sweden,5.928.134,1.812.662,Apartment,2.0,804.0,2,0,2,100.0,1,0,Middle Price
132,1123280,Vaelplanerad laegenhet,6161370,2013-04-30,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11236,Sweden,5.933.136,1.803.446,Apartment,0.0,745.0,2,0,7,80.0,1,0,Middle Price
134,1128990,Bedroom in big apartement in SoFo,2483512,2012-05-28,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11629,Sweden,5.931.494,1.808.635,Apartment,1.0,490.0,2,316,66,91.0,1,0,Low Price
135,1132208,"Bright and comfy apt, Hornstull",6210927,2013-05-03,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11731,Sweden,5.931.856,1.803.751,Apartment,1.0,1001.0,6,0,9,96.0,1,0,High Price
137,1139359,Big & modern with unbeatable location in SoFo/City,6249330,2013-05-06,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11625,Sweden,5.931.344,1.807.705,Apartment,3.0,1766.0,4,57,5,100.0,1,0,High Price
138,1144069,"Bright apartment, popular Soedermalm",5351931,2013-03-06,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11823,Sweden,5.931.766,1.805.337,Apartment,1.0,922.0,4,0,26,98.0,1,0,Middle Price
139,1149820,Bright Mini studio in Hornstull,6302830,2013-05-09,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11730,Sweden,5.931.924,1.802.834,Apartment,1.0,804.0,30,243,73,94.0,1,0,Middle Price
140,1151217,"Cosy rooftop apartment, Soedermalm",6044097,2013-04-22,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11663,Sweden,5.930.952,1.807.755,Apartment,3.0,1501.0,10,0,9,98.0,1,0,High Price
141,1153177,Lovely Apartment Central Stockholm,6319741,2013-05-10,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11550,Sweden,5.934.546,1.808.404,Apartment,3.0,2903.0,4,278,123,97.0,1,1,High Price
142,1156474,New flat by marina close to city,5534531,2013-03-19,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,13155,Sweden,5.931.067,181.034,Apartment,3.0,1403.0,7,0,10,96.0,1,0,High Price
143,1158791,Centralt laege paa Kungsholmen 4tr,6343473,2013-05-12,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11233,Sweden,5.933.668,1.803.587,Apartment,2.0,1403.0,5,0,19,96.0,1,0,High Price
144,1158893,Quiet Oasis Near Central Stockholm,2043953,2012-03-31,"Stockholm, Stockholm County, Sweden",Haegersten-Liljeholmen,Stockholm,Stockholm County,12942,Sweden,5.929.254,1.795.062,House,4.0,2697.0,3,109,73,99.0,1,1,High Price
145,1166419,Central apartement in Stockholm!,6387456,2013-05-14,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11356,Sweden,5.934.833,1.805.969,Apartment,1.0,853.0,4,118,13,93.0,1,0,Middle Price
146,1170027,amazing apartment with big balcony!,2701626,2012-06-21,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12453,Sweden,5.926.397,1.803.436,Apartment,1.0,951.0,5,0,25,93.0,1,0,Middle Price
147,1170669,House with garden close to city,6409405,2013-05-15,"Stockholm, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Stockholm,Stockholm County,12243,Sweden,5.928.377,1.804.859,House,4.0,1668.0,3,102,3,100.0,1,0,High Price
148,1170766,A Studio at Mariaberget,6409820,2013-05-15,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11825,Sweden,5.932.094,1.805.674,Loft,1.0,745.0,3,233,142,97.0,1,1,Middle Price
150,1173290,Great attic quiet apt in SthlmCity,6422311,2013-05-16,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11340,Sweden,5.934.237,1.803.003,Apartment,3.0,1481.0,28,91,23,97.0,2,0,High Price
153,1189469,Exclusive apartment Stockholm city,6502443,2013-05-21,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11449,Sweden,5.934.142,180.758,Condominium,2.0,1854.0,2,295,35,97.0,1,0,High Price
154,1204621,Room in Gaerdet for 1-2 people,6580202,2013-05-26,"Stockholm, Stockholm County, Sweden",Oestermalm,Stockholm,Stockholm County,11559,Sweden,5.934.614,1.811.119,Apartment,1.0,500.0,1,160,119,98.0,1,1,Middle Price
155,1205051,"Modern&homely apt in Soedermalm,SoFo",6581593,2013-05-26,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11633,Sweden,5.931.449,1.808.605,Apartment,1.0,1001.0,6,353,75,97.0,1,0,High Price
157,1228583,Soedermalm - outstanding view,6701871,2013-06-02,"Stockholm, Stockholms laen, Sweden",Soedermalm,Stockholm,Stockholms laen,11842,Sweden,593.108,1.805.441,Apartment,2.0,951.0,2,0,13,97.0,1,0,Middle Price
158,1231897,Room for rental in Stockholm,6718202,2013-06-03,"Stockholm, Stockholm County, Sweden",Skarpnaeck,Stockholm,Stockholm County,12844,Sweden,5.927.402,1.813.351,Apartment,1.0,490.0,2,363,31,97.0,1,0,Low Price
159,1234109,Charming top floor ap with balcony,6729867,2013-06-04,"Stockholm, Stockholm County, Sweden",Kungsholmen,Stockholm,Stockholm County,11233,Sweden,593.328,1.803.281,Apartment,1.0,1246.0,3,75,24,88.0,1,0,High Price
160,1234960,Amazing house 10min walk from Tele2 Arena,6246528,2013-05-06,"Enskede, Stockholm County, Sweden",Enskede-Aarsta-Vantoer,Enskede,Stockholm County,12264,Sweden,5.928.029,1.806.138,House,4.0,1746.0,2,67,60,95.0,1,0,High Price
161,1243144,1700-century apartment Soedermalm,6774845,2013-06-06,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11821,Sweden,5.931.861,180.642,Apartment,2.0,1403.0,6,0,7,100.0,1,0,High Price
162,1244357,Elegant flat in the city heart,6782746,2013-06-07,"Stockholm, Stockholm County, Sweden",Norrmalm,Stockholm,Stockholm County,11350,Sweden,5.934.539,1.805.317,Apartment,1.0,2148.0,3,360,17,99.0,1,0,High Price
163,1244657,Single bed at the lock of Stockholm,4122575,2012-11-11,"Stockholm, Stockholm County, Sweden",Soedermalm,Stockholm,Stockholm County,11645,Sweden,5.932.121,1.807.116,Apartment,1.0,569.0,3,66,68,99.0,1,0,Middle Price
